time,temperature_2m,date,year,month,day,temperature_f
2021-01-01 00:00:00,0.5,2021-01-01,2021,1,1,32.9
2021-01-01 01:00:00,0.5,2021-01-01,2021,1,1,32.9
2021-01-01 02:00:00,0.1,2021-01-01,2021,1,1,32.18
2021-01-01 03:00:00,0.6,2021-01-01,2021,1,1,33.08
2021-01-01 04:00:00,0.8,2021-01-01,2021,1,1,33.44
2021-01-01 05:00:00,0.2,2021-01-01,2021,1,1,32.36
2021-01-01 06:00:00,-0.8,2021-01-01,2021,1,1,30.56
2021-01-01 07:00:00,-0.2,2021-01-01,2021,1,1,31.64
2021-01-01 08:00:00,0.2,2021-01-01,2021,1,1,32.36
2021-01-01 09:00:00,0.8,2021-01-01,2021,1,1,33.44
2021-01-01 10:00:00,1.4,2021-01-01,2021,1,1,34.52
2021-01-01 11:00:00,1.2,2021-01-01,2021,1,1,34.16
2021-01-01 12:00:00,1.2,2021-01-01,2021,1,1,34.16
2021-01-01 13:00:00,1.8,2021-01-01,2021,1,1,35.24
2021-01-01 14:00:00,2.1,2021-01-01,2021,1,1,35.78
2021-01-01 15:00:00,1.7,2021-01-01,2021,1,1,35.06
2021-01-01 16:00:00,1.7,2021-01-01,2021,1,1,35.06
2021-01-01 17:00:00,1.7,2021-01-01,2021,1,1,35.06
2021-01-01 18:00:00,1.6,2021-01-01,2021,1,1,34.88
2021-01-01 19:00:00,1.5,2021-01-01,2021,1,1,34.7
2021-01-01 20:00:00,1.3,2021-01-01,2021,1,1,34.34
2021-01-01 21:00:00,0.8,2021-01-01,2021,1,1,33.44
2021-01-01 22:00:00,0.7,2021-01-01,2021,1,1,33.26
2021-01-01 23:00:00,1.0,2021-01-01,2021,1,1,33.8
2021-01-02 00:00:00,0.6,2021-01-02,2021,1,2,33.08
2021-01-02 01:00:00,0.1,2021-01-02,2021,1,2,32.18
2021-01-02 02:00:00,-0.3,2021-01-02,2021,1,2,31.46
2021-01-02 03:00:00,-0.6,2021-01-02,2021,1,2,30.92
2021-01-02 04:00:00,-0.6,2021-01-02,2021,1,2,30.92
2021-01-02 05:00:00,-0.3,2021-01-02,2021,1,2,31.46
2021-01-02 06:00:00,-0.2,2021-01-02,2021,1,2,31.64
2021-01-02 07:00:00,0.2,2021-01-02,2021,1,2,32.36
2021-01-02 08:00:00,0.6,2021-01-02,2021,1,2,33.08
2021-01-02 09:00:00,0.9,2021-01-02,2021,1,2,33.62
2021-01-02 10:00:00,1.7,2021-01-02,2021,1,2,35.06
2021-01-02 11:00:00,2.5,2021-01-02,2021,1,2,36.5
2021-01-02 12:00:00,2.3,2021-01-02,2021,1,2,36.14
2021-01-02 13:00:00,2.6,2021-01-02,2021,1,2,36.68
2021-01-02 14:00:00,2.2,2021-01-02,2021,1,2,35.96
2021-01-02 15:00:00,-0.3,2021-01-02,2021,1,2,31.46
2021-01-02 16:00:00,-0.6,2021-01-02,2021,1,2,30.92
2021-01-02 17:00:00,-1.0,2021-01-02,2021,1,2,30.2
2021-01-02 18:00:00,-0.1,2021-01-02,2021,1,2,31.82
2021-01-02 19:00:00,0.4,2021-01-02,2021,1,2,32.72
